,composer,song_name,year,era
140,D.Scarlatti,k012.mid,1738,Baroque
141,D.Scarlatti,k008.mid,1738,Baroque
142,D.Scarlatti,k004.mid,1738,Baroque
143,D.Scarlatti,k016.mid,1738,Baroque
144,D.Scarlatti,k001.mid,1738,Baroque
145,Bach,bach_well_tempered_klavier_ii_bwv877.mid,1740,Baroque
146,Bach,bach_well_tempered_klavier_ii_bwv893.mid,1740,Baroque
147,Bach,bach_well_tempered_klavier_ii_bwv872.mid,1740,Baroque
148,Bach,bach_well_tempered_klavier_ii_bwv891.mid,1740,Baroque
149,Bach,bach_well_tempered_klavier_ii_bwv887.mid,1740,Baroque
150,Bach,bach_well_tempered_klavier_ii_bwv871_(c)harfesoft.mid,1740,Baroque
151,Bach,bach_well_tempered_klavier_ii_bwv881.mid,1740,Baroque
152,Bach,bach_well_tempered_klavier_ii_bwv883.mid,1740,Baroque
153,Bach,bach_well_tempered_klavier_ii_bwv876.mid,1740,Baroque
154,Bach,bach_well_tempered_klavier_ii_bwv880.mid,1740,Baroque
155,Bach,bach_well_tempered_klavier_ii_bwv875.mid,1740,Baroque
156,Bach,bach_well_tempered_klavier_ii_bwv874.mid,1740,Baroque
157,Bach,bach_well_tempered_klavier_ii_bwv882.mid,1740,Baroque
158,Bach,bach_well_tempered_klavier_ii_bwv870_(c)harfesoft.mid,1740,Baroque
159,Bach,bach_well_tempered_klavier_ii_bwv892.mid,1740,Baroque
160,Bach,bach_well_tempered_klavier_ii_bwv889.mid,1740,Baroque
161,Bach,bach_well_tempered_klavier_ii_bwv885.mid,1740,Baroque
162,Bach,bach_well_tempered_klavier_ii_bwv890.mid,1740,Baroque
163,Bach,bach_well_tempered_klavier_ii_bwv886.mid,1740,Baroque
164,Bach,bach_well_tempered_klavier_ii_bwv878.mid,1740,Baroque
165,Bach,bach_well_tempered_klavier_ii_bwv879.mid,1740,Baroque
166,Bach,bach_well_tempered_klavier_ii_bwv884.mid,1740,Baroque
167,Bach,bach_well_tempered_klavier_ii_bwv888.mid,1740,Baroque
168,Bach,bach_well_tempered_klavier_ii_bwv873.mid,1740,Baroque
169,Bach,goldberg_variations_988_11_(c)degiusti.mid,1741,Baroque
170,Bach,goldberg_variations_988_04_(c)degiusti.mid,1741,Baroque
171,Bach,goldberg_variations_988_18_(c)degiusti.mid,1741,Baroque
172,Bach,goldberg_variations_988_22_(c)degiusti.mid,1741,Baroque
173,Bach,goldberg_variations_988_17_(c)degiusti.mid,1741,Baroque
174,Bach,goldberg_variations_988_08_(c)degiusti.mid,1741,Baroque
175,Bach,goldberg_variations_988_10_(c)degiusti.mid,1741,Baroque
176,Bach,goldberg_variations_988_01_(c)degiusti.mid,1741,Baroque
177,Bach,goldberg_variations_988_07_(c)degiusti.mid,1741,Baroque
